FECHA	HORA	Altura	Combinacion_Canya	Temperatura
11/12/2015	12:48:23	1086.590000	1.000000	14.500000
11/12/2015	12:48:23	1086.590000	1.000000	14.500000
11/12/2015	12:48:23	1086.590000	1.000000	14.500000
11/12/2015	12:48:23	1086.590000	1.000000	14.500000
11/12/2015	12:48:24	1086.590000	1.000000	14.500000
11/12/2015	12:48:24	1086.590000	1.000000	14.500000
11/12/2015	12:48:24	1086.590000	1.000000	14.500000
11/12/2015	12:48:24	1086.590000	1.000000	14.500000
11/12/2015	12:48:24	1086.590000	1.000000	14.500000
11/12/2015	12:48:25	1086.590000	1.000000	14.500000
11/12/2015	12:48:25	1086.590000	1.000000	14.500000
11/12/2015	12:48:25	1086.590000	1.000000	14.500000
11/12/2015	12:48:25	1086.590000	1.000000	14.500000
11/12/2015	12:48:25	1086.590000	1.000000	14.500000
11/12/2015	12:48:26	1086.590000	1.000000	14.500000
11/12/2015	12:48:26	1087.420000	1.000000	14.600000
11/12/2015	12:48:26	1087.420000	1.000000	14.600000
11/12/2015	12:48:26	1087.420000	1.000000	14.600000
11/12/2015	12:48:26	1087.420000	1.000000	14.600000
11/12/2015	12:48:27	1087.420000	1.000000	14.600000
11/12/2015	12:48:27	1087.420000	1.000000	14.600000
11/12/2015	12:48:27	1087.420000	1.000000	14.600000
11/12/2015	12:48:27	1087.420000	1.000000	14.600000
11/12/2015	12:48:27	1087.420000	1.000000	14.600000
11/12/2015	12:48:28	1087.420000	1.000000	14.600000
11/12/2015	12:48:28	1087.420000	1.000000	14.600000
11/12/2015	12:48:28	1087.420000	1.000000	14.600000
11/12/2015	12:48:28	1087.420000	1.000000	14.600000
11/12/2015	12:48:28	1087.420000	1.000000	14.600000
11/12/2015	12:48:29	1087.420000	1.000000	14.600000
11/12/2015	12:48:29	1087.420000	1.000000	14.600000
11/12/2015	12:48:29	1087.420000	1.000000	14.600000
11/12/2015	12:48:29	1087.420000	1.000000	14.600000
11/12/2015	12:48:29	1087.420000	1.000000	14.600000
11/12/2015	12:48:30	1087.420000	1.000000	14.600000
11/12/2015	12:48:30	1087.670000	1.000000	14.600000
11/12/2015	12:48:30	1087.670000	1.000000	14.600000
11/12/2015	12:48:30	1087.670000	1.000000	14.600000
11/12/2015	12:48:31	1087.670000	1.000000	14.600000
11/12/2015	12:48:31	1087.670000	1.000000	14.600000
11/12/2015	12:48:31	1087.670000	1.000000	14.600000
11/12/2015	12:48:31	1087.670000	1.000000	14.600000
11/12/2015	12:48:31	1087.670000	1.000000	14.600000
11/12/2015	12:48:32	1087.670000	1.000000	14.600000
11/12/2015	12:48:32	1087.670000	1.000000	14.600000
11/12/2015	12:48:32	1087.670000	1.000000	14.600000
11/12/2015	12:48:32	1087.670000	1.000000	14.600000
11/12/2015	12:48:32	1087.670000	1.000000	14.600000
11/12/2015	12:48:33	1087.670000	1.000000	14.600000
11/12/2015	12:48:33	1087.670000	1.000000	14.600000
11/12/2015	12:48:33	1087.670000	1.000000	14.600000
11/12/2015	12:48:33	1087.670000	1.000000	14.600000
11/12/2015	12:48:33	1087.670000	1.000000	14.600000
11/12/2015	12:48:34	1087.670000	1.000000	14.600000
11/12/2015	12:48:34	1087.670000	2.000000	14.600000
11/12/2015	12:48:54	472.900000	2.000000	14.600000
11/12/2015	12:48:54	472.900000	2.000000	14.600000
11/12/2015	12:48:54	472.900000	2.000000	14.600000
11/12/2015	12:48:54	472.900000	2.000000	14.600000
11/12/2015	12:48:55	472.900000	2.000000	14.600000
11/12/2015	12:48:55	472.900000	2.000000	14.600000
11/12/2015	12:48:55	472.900000	2.000000	14.600000
11/12/2015	12:48:55	472.900000	2.000000	14.600000
11/12/2015	12:48:55	472.900000	2.000000	14.600000
11/12/2015	12:48:56	472.900000	2.000000	14.600000
11/12/2015	12:48:56	472.900000	2.000000	14.600000
11/12/2015	12:48:56	472.900000	2.000000	14.600000
11/12/2015	12:48:56	472.900000	2.000000	14.600000
11/12/2015	12:48:57	472.900000	2.000000	14.600000
11/12/2015	12:48:57	472.900000	2.000000	14.600000
11/12/2015	12:48:57	472.900000	2.000000	14.600000
11/12/2015	12:48:57	472.900000	2.000000	14.600000
11/12/2015	12:48:57	472.900000	2.000000	14.600000
11/12/2015	12:48:58	472.900000	2.000000	14.600000
11/12/2015	12:48:58	472.900000	2.000000	14.600000
